Date,Crop,Market,Price,Unit
2024-01-28,Maize,Owino,1194.0,kg
2024-01-29,Maize,Owino,1035.0,kg
2024-01-30,Maize,Owino,1126.0,kg
2024-01-31,Maize,Owino,1137.0,kg
2024-02-01,Maize,Owino,1082.0,kg
2024-02-02,Maize,Owino,1059.0,kg
2024-02-03,Maize,Owino,1027.0,kg
2024-02-04,Maize,Owino,1069.0,kg
2024-02-05,Maize,Owino,1195.0,kg
2024-02-06,Maize,Owino,1150.0,kg
2024-02-07,Maize,Owino,1138.0,kg
2024-02-08,Maize,Owino,1081.0,kg
2024-02-09,Maize,Owino,1151.0,kg
2024-02-10,Maize,Owino,1187.0,kg
2024-02-11,Maize,Owino,1216.0,kg
2024-02-12,Maize,Owino,1117.0,kg
2024-02-13,Maize,Owino,1125.0,kg
2024-02-14,Maize,Owino,1139.0,kg
2024-02-15,Maize,Owino,1205.0,kg
2024-02-16,Maize,Owino,1192.0,kg
2024-02-17,Maize,Owino,1164.0,kg
2024-02-18,Maize,Owino,1178.0,kg
2024-02-19,Maize,Owino,1249.0,kg
2024-02-20,Maize,Owino,1182.0,kg
2024-02-21,Maize,Owino,1198.0,kg
2024-02-22,Maize,Owino,1248.0,kg
2024-02-23,Maize,Owino,1240.0,kg
2024-02-24,Maize,Owino,1219.0,kg
2024-02-25,Maize,Owino,1316.0,kg
2024-02-26,Maize,Owino,1250.0,kg
2024-02-27,Maize,Owino,1280.0,kg
2024-02-28,Maize,Owino,1160.0,kg
2024-02-29,Maize,Owino,1241.0,kg
2024-03-01,Maize,Owino,1268.0,kg
2024-03-02,Maize,Owino,1248.0,kg
2024-03-03,Maize,Owino,1271.0,kg
2024-03-04,Maize,Owino,1341.0,kg
2024-03-05,Maize,Owino,1238.0,kg
2024-03-06,Maize,Owino,1223.0,kg
2024-03-07,Maize,Owino,1236.0,kg
2024-03-08,Maize,Owino,1259.0,kg
2024-03-09,Maize,Owino,1257.0,kg
