date,source,text
2026-01-27,Mock Source,Beans prices drop as supply floods the market.
2026-01-27,Mock Source,Government announces new subsidies for fertilizer.
2026-01-27,Mock Source,Farmers worried about prolonged drought affecting yields.
2026-01-27,Mock Source,Transport costs hike food prices in Kampala.
2026-01-27,Mock Source,Government announces new subsidies for fertilizer.
2026-01-27,Mock Source,Farmers worried about prolonged drought affecting yields.
2026-01-27,Mock Source,Farmers worried about prolonged drought affecting yields.
2026-01-27,Mock Source,Prices for maize are expected to rise due to scarcity.
2026-01-27,Mock Source,Heavy rains in the west promise a bumper harvest for coffee.
2026-01-27,Mock Source,Heavy rains in the west promise a bumper harvest for coffee.
