Date,Crop,Market,Price,Unit
2024-01-28,Maize,Owino,1194,kg
2024-01-29,Maize,Owino,1035,kg
2024-01-30,Maize,Owino,1126,kg
2024-01-31,Maize,Owino,1137,kg
2024-02-01,Maize,Owino,1082,kg
2024-02-02,Maize,Owino,1059,kg
2024-02-03,Maize,Owino,1027,kg
2024-02-04,Maize,Owino,1069,kg
2024-02-05,Maize,Owino,1195,kg
2024-02-06,Maize,Owino,1150,kg
2024-02-07,Maize,Owino,1138,kg
2024-02-08,Maize,Owino,1081,kg
2024-02-09,Maize,Owino,1151,kg
2024-02-10,Maize,Owino,1187,kg
2024-02-11,Maize,Owino,1216,kg
2024-02-12,Maize,Owino,1117,kg
2024-02-13,Maize,Owino,1125,kg
2024-02-14,Maize,Owino,1139,kg
2024-02-15,Maize,Owino,1205,kg
2024-02-16,Maize,Owino,1192,kg
2024-02-17,Maize,Owino,1164,kg
2024-02-18,Maize,Owino,1178,kg
2024-02-19,Maize,Owino,1249,kg
2024-02-20,Maize,Owino,1182,kg
2024-02-21,Maize,Owino,1198,kg
2024-02-22,Maize,Owino,1248,kg
2024-02-23,Maize,Owino,1240,kg
2024-02-24,Maize,Owino,1219,kg
2024-02-25,Maize,Owino,1316,kg
2024-02-26,Maize,Owino,1250,kg
2024-02-27,Maize,Owino,1280,kg
2024-02-28,Maize,Owino,1160,kg
2024-02-29,Maize,Owino,1241,kg
2024-03-01,Maize,Owino,1268,kg
2024-03-02,Maize,Owino,1248,kg
2024-03-03,Maize,Owino,1271,kg
2024-03-04,Maize,Owino,1341,kg
2024-03-05,Maize,Owino,1238,kg
2024-03-06,Maize,Owino,1223,kg
2024-03-07,Maize,Owino,1236,kg
2024-03-08,Maize,Owino,1259,kg
2024-03-09,Maize,Owino,1257,kg
2024-03-10,Maize,Owino,1312,kg
2024-03-11,Maize,Owino,1274,kg
2024-03-12,Maize,Owino,1304,kg
2024-03-13,Maize,Owino,1282,kg
2024-03-14,Maize,Owino,1263,kg
2024-03-15,Maize,Owino,1257,kg
2024-03-16,Maize,Owino,1305,kg
2024-03-17,Maize,Owino,1293,kg
2024-03-18,Maize,Owino,1302,kg
2024-03-19,Maize,Owino,1245,kg
2024-03-20,Maize,Owino,1276,kg
2024-03-21,Maize,Owino,1297,kg
2024-03-22,Maize,Owino,1255,kg
2024-03-23,Maize,Owino,1291,kg
2024-03-24,Maize,Owino,1312,kg
2024-03-25,Maize,Owino,1328,kg
